234,Iaxe,Akoy Sa Iyo Ikay Akin,0,['A' 'A7' 'Bm7' 'C#m' 'C#m7' 'D' 'Dm' 'E' 'F#m' 'F#m7' 'Fm' 'Fm7']
235,Simple Plan,Welcome To My Life,0,['Am' 'C' 'Dm' 'F' 'G']
236,Linkin Park,In The End,0,['C' 'D' 'Em' 'G']
237,The Beatles,I Saw Her Standing There,0,['A' 'A7' 'Am' 'B7' 'E' 'E7' 'E9']
238,Buffalo Springfield,For What Its Worth,0,['A' 'C' 'D' 'E' 'G']
239,Green Day,Wake Me Up When September Ends,0,['Bm' 'C' 'Cm' 'D' 'D/F#' 'Em' 'G' 'G/F#']
240,AC/DC,Highway To Hell,0,['A' 'D' 'D/F#' 'E' 'G']
241,Radiohead,Fake Plastic Trees,0,['A' 'A/F#' 'Amaj7' 'Asus4' 'Bm11' 'Dsus2' 'E6']
242,Sum 41,Pieces,0,['A' 'Bb' 'C' 'Dm' 'F']
243,Rascal Flatts,Bless The Broken Road,0,['Am' 'C' 'F' 'G']
244,Damien Rice,Cannonball,6,['C' 'Cadd9' 'D' 'Em7' 'G' 'G/F#']
